CLAVE SITIO,NOMBRE DEL SITIO,CUENCA,CLAVE ACUÍFERO,ACUÍFERO,ORGANISMO CUENCA,ESTADO,MUNICIPIO,CUERPO DE AGUA,TIPO DE CUERPO DE AGUA,SUBTIPO CUERPO AGUA,LATITUD,LONGITUD
OCPNO4473,ENSENADA PABELLONES 2,RÍO CULIACÁN,,,PACÍFICO NORTE,SINALOA,NAVOLATO,CUERPO DE AGUA DEL HUMEDAL,COSTERO (HUMEDAL),BAHIA,24.46773,-107.62859
OCPNO4474,"NAVOLATO SEG 37, 2 ISA10B",RÍO CULIACÁN,,,PACÍFICO NORTE,SINALOA,NAVOLATO,BAHÍA ENSENADA PABELLONES,COSTERO (HUMEDAL),BAHIA,24.49834,-107.59052
OCPNO4475,LAGUNA CAIMANERO,GRUPO DE CORRIENTES PABELLONES,,,PACÍFICO NORTE,SINALOA,NAVOLATO,LAGUNA CAIMANERO,LÉNTICO (HUMEDAL),LAGO,24.61106,-107.61197
OCPNO4476,"KYARA, S.A. DE C.V. (AGUAS ARRIBA)",GRUPO DE CORRIENTES PABELLONES,,,PACÍFICO NORTE,SINALOA,CULIACÁN,DREN CHIRICAHUETO,LÓTICO,DREN,24.71012,-107.41465
OCPNO4477,"KYARA, S.A. DE C.V. (AGUAS ABAJO)",GRUPO DE CORRIENTES PABELLONES,,,PACÍFICO NORTE,SINALOA,CULIACÁN,DREN CHIRICAHUETO,LÓTICO,DREN,24.70513,-107.4192
OCPNO4478,RIO TAMAZULA 3,RÍO CULIACÁN,,,PACÍFICO NORTE,SINALOA,CULIACÁN,RIO TAMAZULA,LÓTICO,RÍO,24.85035,-107.29765
OCPNO4479,PRESA SANALONA 3,RÍO TAMAZULA,,,PACÍFICO NORTE,SINALOA,CULIACÁN,PRESA SINALOA,LÉNTICO (HUMEDAL),PRESA,24.83191,-107.13645
OCPNO4480,PRESA SANALONA 4,RÍO TAMAZULA,,,PACÍFICO NORTE,SINALOA,CULIACÁN,PRESA SINALOA,LÉNTICO (HUMEDAL),PRESA,24.82428,-107.12249
OCPNO4481,PRESA SANALONA 6,RÍO TAMAZULA,,,PACÍFICO NORTE,SINALOA,CULIACÁN,PRESA SINALOA,LÉNTICO (HUMEDAL),PRESA,24.83925,-107.1078
OCPNO4482,PRESA SANALONA 7,RÍO TAMAZULA,,,PACÍFICO NORTE,SINALOA,CULIACÁN,PRESA SINALOA,LÉNTICO (HUMEDAL),PRESA,24.8235,-107.11535
